Metabolite,RT,MZ,Intensity
0.33_278.1164m/z,0.33,278.1164,1801.641237
0.33_280.1321m/z,0.33,280.1321,1062.627835
0.33_291.0841m/z,0.33,291.0841,3180.101031
0.33_291.1118m/z,0.33,291.1118,1058.830928
0.33_292.1322m/z,0.33,292.1322,1553.528866
0.33_303.1118m/z,0.33,303.1118,568.1051546
0.33_305.1274m/z,0.33,305.1274,1183.470103
0.33_307.1428m/z,0.33,307.1428,408.6010309
0.33_319.1431m/z,0.33,319.1431,771.8268041
0.33_335.0485m/z,0.33,335.0485,585.7371134
0.33_340.0010m/z,0.33,340.001,2591.103093
0.33_342.0002m/z,0.33,342.0002,2349.582474
0.33_347.0037m/z,0.33,347.0037,3504.196907
0.33_351.9981m/z,0.33,351.9981,1708.618557
0.33_401.9543m/z,0.33,401.9543,731.7463918
0.33_500.2791m/z,0.33,500.2791,414.6845361
0.33_528.2736m/z,0.33,528.2736,1452.940206
0.34_119.9458m/z,0.34,119.9458,234.9783505
0.34_123.9010m/z,0.34,123.901,535.6391753
0.34_125.8986m/z,0.34,125.8986,477.3587629
0.34_126.8799m/z,0.34,126.8799,1514.518557
0.34_128.8770m/z,0.34,128.877,1029.684536
0.34_132.8668m/z,0.34,132.8668,6343.67732
0.34_134.8641m/z,0.34,134.8641,3414.569072
0.34_136.9087m/z,0.34,136.9087,1895.324742
0.34_138.9058m/z,0.34,138.9058,396.4103093
0.34_180.8989m/z,0.34,180.8989,6837.019588
0.34_184.8759m/z,0.34,184.8759,2210.089691
0.34_224.0939m/z,0.34,224.0939,511.6670103
0.34_232.8790m/z,0.34,232.879,389.6216495
0.34_263.1054m/z,0.34,263.1054,539.3010309
0.34_290.1165m/z,0.34,290.1165,607.6845361
0.34_310.8578m/z,0.34,310.8578,1970.572165
0.34_331.1431m/z,0.34,331.1431,790.3515464
0.34_388.8744m/z,0.34,388.8744,1324.914433
0.34_694.4308m/z,0.34,694.4308,5844.298969
0.34_102.9475m/z,0.34,102.9475,2109.729897
0.34_132.9039m/z,0.34,132.9039,894.3123711
0.34_136.8620m/z,0.34,136.862,558.9752577
0.34_144.9422m/z,0.34,144.9422,1049.046392
0.34_146.0237m/z,0.34,146.0237,649.2742268
0.34_150.9145m/z,0.34,150.9145,6406.240206
0.34_166.9096m/z,0.34,166.9096,1393.837113
0.34_168.9252m/z,0.34,168.9252,680.8546392
0.34_187.9281m/z,0.34,187.9281,2933.642268
0.34_190.9278m/z,0.34,190.9278,12662.60309
0.34_201.0638m/z,0.34,201.0638,265.9319588
0.34_204.9435m/z,0.34,204.9435,4144.884536
0.34_212.9153m/z,0.34,212.9153,5813.894845
0.34_240.9109m/z,0.34,240.9109,14185.61753
0.34_304.1321m/z,0.34,304.1321,309.6907216
0.34_308.8643m/z,0.34,308.8643,2360.064948
0.34_317.1273m/z,0.34,317.1273,616.1835052
0.34_320.8868m/z,0.34,320.8868,33178.27216
0.34_324.8641m/z,0.34,324.8641,3292.708247
0.34_334.9027m/z,0.34,334.9027,15213.42062
0.34_340.8361m/z,0.34,340.8361,2214.251546
0.34_370.8691m/z,0.34,370.8691,1130.138144
0.34_392.8512m/z,0.34,392.8512,3198.285567
0.34_408.8236m/z,0.34,408.8236,1895.036082
0.35_138.9283m/z,0.35,138.9283,219.1072165
0.35_165.9223m/z,0.35,165.9223,241.7123711
0.35_227.0797m/z,0.35,227.0797,327.3051546
0.35_261.0898m/z,0.35,261.0898,202.9773196
0.35_317.8873m/z,0.35,317.8873,1027.389691
0.35_318.8915m/z,0.35,318.8915,1275.025773
0.35_330.8808m/z,0.35,330.8808,545.1969072
0.35_376.8865m/z,0.35,376.8865,2676.840206
0.35_460.8386m/z,0.35,460.8386,2866.698969
0.35_139.0026m/z,0.35,139.0026,151.1979381
0.36_125.0345m/z,0.36,125.0345,675.4525773
0.36_133.9436m/z,0.36,133.9436,1347.210309
0.36_136.9312m/z,0.36,136.9312,2435.796907
0.36_156.0115m/z,0.36,156.0115,114884.0546
0.37_211.0652m/z,0.37,211.0652,37.76597938
0.37_122.0461m/z,0.37,122.0461,229.6979381
0.38_72.0077m/z,0.38,72.0077,1064.996907
0.38_96.0077m/z,0.38,96.0077,526.9515464
0.38_118.0286m/z,0.38,118.0286,1689.1
0.38_124.0029m/z,0.38,124.0029,261.6835052
0.39_92.0240m/z,0.39,92.024,1308.527835
0.40_114.0185m/z,0.4,114.0185,2995.815464
0.40_134.0461m/z,0.4,134.0461,2399.690722
0.40_135.0439m/z,0.4,135.0439,802.2587629
0.40_253.9188m/z,0.4,253.9188,1857.042268
0.40_127.0138m/z,0.4,127.0138,2880.372165
0.43_209.0789m/z,0.43,209.0789,767.3515464
0.44_112.0392m/z,0.44,112.0392,507.2762887
0.44_123.0076m/z,0.44,123.0076,6578.287629
0.44_83.0236m/z,0.44,83.0236,5703.130928
0.44_109.0283m/z,0.44,109.0283,1556.797938
0.45_125.0232m/z,0.45,125.0232,1777.454639
0.46_122.0324m/z,0.46,122.0324,12.75257732
0.47_115.0389m/z,0.47,115.0389,6862.392784
0.47_234.9116m/z,0.47,234.9116,1113.918557
0.47_158.9501m/z,0.47,158.9501,2028.949485
0.47_224.0385m/z,0.47,224.0385,1512.239175
0.47_219.8448m/z,0.47,219.8448,1705.650515
0.48_198.0224m/z,0.48,198.0224,2454.073196
0.48_239.9029m/z,0.48,239.9029,3972.592784
0.48_100.0027m/z,0.48,100.0027,5029.339175
0.49_172.0065m/z,0.49,172.0065,3375.312371
0.49_186.9289m/z,0.49,186.9289,3126.953608
0.49_143.9378m/z,0.49,143.9378,1671.508247
0.49_257.9137m/z,0.49,257.9137,7712.157732
0.49_307.8969m/z,0.49,307.8969,11093.47938
0.50_129.0546m/z,0.5,129.0546,2116.861856
0.50_143.9227m/z,0.5,143.9227,248.4762887
0.50_146.9224m/z,0.5,146.9224,935.6092784
0.50_146.9376m/z,0.5,146.9376,9170.916495
0.50_150.9145m/z,0.5,150.9145,2475.469072
0.50_179.9355m/z,0.5,179.9355,11946.49381
0.50_190.9278m/z,0.5,190.9278,13800.43505
0.50_240.9108m/z,0.5,240.9108,5119.845361
0.50_305.9005m/z,0.5,305.9005,3970.693814
0.51_129.9353m/z,0.51,129.9353,232.9175258
0.51_142.9951m/z,0.51,142.9951,581.7618557
0.51_173.9254m/z,0.51,173.9254,217.2824742
0.51_324.8640m/z,0.51,324.864,4416.634021
0.52_126.9782m/z,0.52,126.9782,124.2958763
0.52_154.9732m/z,0.52,154.9732,331.1659794
0.52_120.9536m/z,0.52,120.9536,826.4824742
0.52_428.8887m/z,0.52,428.8887,2639.187629
0.52_126.8798m/z,0.52,126.8798,1580.485567
0.52_160.8409m/z,0.52,160.8409,2146.678351
0.52_164.9336m/z,0.52,164.9336,302.6309278
0.52_179.9515m/z,0.52,179.9515,4.511340206
0.52_180.8988m/z,0.52,180.8988,9570.235052
0.52_204.9661m/z,0.52,204.9661,2535.346392
0.52_216.9661m/z,0.52,216.9661,3449.853608
0.53_150.9529m/z,0.53,150.9529,3833.651546
0.53_244.9473m/z,0.53,244.9473,1473.848454
0.53_263.9377m/z,0.53,263.9377,700.0938144
0.53_346.9248m/z,0.53,346.9248,2726.780412
0.53_460.8838m/z,0.53,460.8838,2612.479381
0.53_474.8825m/z,0.53,474.8825,9079.029897
0.53_490.8595m/z,0.53,490.8595,17666.1
0.53_570.8473m/z,0.53,570.8473,6118.039175
0.53_584.8628m/z,0.53,584.8628,6842.084536
0.53_127.8690m/z,0.53,127.869,2291.923711
0.53_136.9312m/z,0.53,136.9312,4131.015464
0.53_159.9733m/z,0.53,159.9733,116.1814433
0.53_197.9016m/z,0.53,197.9016,3406.002062
0.53_208.9604m/z,0.53,208.9604,13651.39381
0.53_289.9491m/z,0.53,289.9491,1554.239175
