Compound_ID,MZ,RT,Intensity,Metabolite
12.58_84.0452m/z,84.0452,12.58,317.55,
5.12_84.0645m/z,84.0645,5.12,250.05,
4.57_84.0645m/z,84.0645,4.57,318.53,
0.95_84.0646m/z,84.0646,0.95,259.43,
7.72_84.0815m/z,84.0815,7.72,377.07,
8.68_84.0816m/z,84.0816,8.68,4334.03,
8.06_84.0816m/z,84.0816,8.06,531.66,
9.42_84.0816m/z,84.0816,9.42,43934.64,
9.70_84.0816m/z,84.0816,9.7,650.07,
9.67_84.0816m/z,84.0816,9.67,208.98,
1.73_84.0897m/z,84.0897,1.73,5.19,
6.73_84.2814m/z,84.2814,6.73,464.93,
6.77_84.2856m/z,84.2856,6.77,33.33,
6.74_84.2856m/z,84.2856,6.74,55.54,
6.73_84.5092m/z,84.5092,6.73,11.13,
7.86_84.9120m/z,84.912,7.86,10189.64,
8.75_84.9605m/z,84.9605,8.75,240071.83,
0.34_84.9658m/z,84.9658,0.34,48.01,
8.75_85.0284m/z,85.0284,8.75,14.77,
0.33_85.0290m/z,85.029,0.33,12.46,
8.71_85.0291m/z,85.0291,8.71,13419.91,
4.74_85.0292m/z,85.0292,4.74,15022.93,
4.31_85.0292m/z,85.0292,4.31,14622.86,
2.73_85.0292m/z,85.0292,2.73,42.08,
2.78_85.0292m/z,85.0292,2.78,50.43,
3.48_85.0292m/z,85.0292,3.48,116.07,
2.88_85.0292m/z,85.0292,2.88,149.3,
0.34_85.0403m/z,85.0403,0.34,378.97,
4.61_85.0404m/z,85.0404,4.61,152.18,
16.01_85.0404m/z,85.0404,16.01,19.11,
6.95_85.0651m/z,85.0651,6.95,20.7,
0.36_85.0655m/z,85.0655,0.36,29.17,
1.93_85.0656m/z,85.0656,1.93,2253.47,
0.36_85.0767m/z,85.0767,0.36,37.65,
0.35_85.1019m/z,85.1019,0.35,39.61,
1.66_85.1020m/z,85.102,1.66,162.53,
7.96_86.0608m/z,86.0608,7.96,1212.45,
8.43_86.0608m/z,86.0608,8.43,949.94,
1.86_86.0608m/z,86.0608,1.86,26.87,
6.17_86.0608m/z,86.0608,6.17,7972.46,
5.55_86.0608m/z,86.0608,5.55,708.33,
5.41_86.0608m/z,86.0608,5.41,938.87,
4.13_86.0608m/z,86.0608,4.13,4203.71,
16.00_86.0608m/z,86.0608,16,68.22,
3.37_86.0608m/z,86.0608,3.37,18585.26,
6.54_86.0720m/z,86.072,6.54,25864.03,
0.36_86.0845m/z,86.0845,0.36,64.96,
7.16_86.0950m/z,86.095,7.16,39.42,
7.18_86.0950m/z,86.095,7.18,20.51,
0.36_86.0971m/z,86.0971,0.36,577.79,
8.59_86.0972m/z,86.0972,8.59,2917.53,
